Symbol,Name,Sector,Price,Earnings/Share
MMM,3M Company,Industrials,222.89,7.92
AOS,A.O. Smith Corp,Industrials,60.24,1.7
ABT,Abbott Laboratories,Health Care,56.27,0.26
ABBV,AbbVie Inc.,Health Care,108.48,3.29
ACN,Accenture plc,Information Technology,150.51,5.44
ATVI,Activision Blizzard,Information Technology,65.83,1.28
AYI,Acuity Brands Inc,Industrials,145.41,7.43
ADBE,Adobe Systems Inc,Information Technology,185.16,3.39
AAP,Advance Auto Parts,Consumer Discretionary,109.63,6.19
AMD,Advanced Micro Devices Inc,Information Technology,11.22,0.03
AES,AES Corp,Utilities,10.06,-1.72
AET,Aetna Inc,Health Care,178,5.75
AMG,Affiliated Managers Group Inc,Financials,179.11,12.07
AFL,AFLAC Inc,Financials,83.25,11.01
A,Agilent Technologies Inc,Health Care,65.05,2.1
APD,Air Products & Chemicals Inc,Materials,152.8,13.66
AKAM,Akamai Technologies Inc,Information Technology,62.49,1.79
ALK,Alaska Air Group Inc,Industrials,64.04,8.28
ALB,Albemarle Corp,Materials,105.18,5.66
ARE,Alexandria Real Estate Equities Inc,Real Estate,114.58,1.57
ALXN,Alexion Pharmaceuticals,Health Care,108.47,1.77
ALGN,Align Technology,Health Care,220.71,2.84
ALLE,Allegion,Industrials,77.32,2.37
AGN,"Allergan, Plc",Health Care,164.2,38.35
ADS,Alliance Data Systems,Information Technology,240.6,14.13
LNT,Alliant Energy Corp,Utilities,37.14,1.65
ALL,Allstate Corp,Financials,90.06,4.68
GOOGL,Alphabet Inc Class A,Information Technology,1007.71,22.27
GOOG,Alphabet Inc Class C,Information Technology,1001.52,22.27
MO,Altria Group Inc,Consumer Staples,64.05,5.31
AMZN,Amazon.com Inc,Consumer Discretionary,1350.5,6.16
AEE,Ameren Corp,Utilities,52.59,2.68
AAL,American Airlines Group,Industrials,48.6,3.91
AEP,American Electric Power,Utilities,63.38,1.24
AXP,American Express Co,Financials,88.34,2.9
AIG,"American International Group, Inc.",Financials,58.28,-0.76
AMT,American Tower Corp A,Real Estate,133.57,1.97
AWK,American Water Works Company Inc,Utilities,76.06,2.63
AMP,Ameriprise Financial,Financials,152.5,9.44
ABC,AmerisourceBergen Corp,Health Care,91.55,1.64
AME,AMETEK Inc,Industrials,72.05,2.94
AMGN,Amgen Inc,Health Care,173.12,2.57
APH,Amphenol Corp,Information Technology,84.44,2.05
APC,Anadarko Petroleum Corp,Energy,56.2,-5.9
ADI,"Analog Devices, Inc.",Information Technology,82.68,2.11
ANDV,Andeavor,Energy,96.9,6.13
ANSS,ANSYS,Information Technology,148.84,2.99
ANTM,Anthem Inc.,Health Care,230.57,14.36
AON,Aon plc,Financials,136.05,4.66
APA,Apache Corporation,Energy,37.73,-3.72
AIV,Apartment Investment & Management,Real Estate,38.21,1.95
AAPL,Apple Inc.,Information Technology,155.15,9.2
AMAT,Applied Materials Inc,Information Technology,45.75,3.17
APTV,Aptiv Plc,Consumer Discretionary,89.27,5.05
ADM,Archer-Daniels-Midland Co,Consumer Staples,41.35,2.17
ARNC,Arconic Inc,Industrials,24.45,-0.21
AJG,Arthur J. Gallagher & Co.,Financials,64.4,2.54
AIZ,Assurant Inc,Financials,85.16,9.08
T,AT&T Inc,Telecommunication Services,35.57,4.76
ADSK,Autodesk Inc,Information Technology,104.81,-2.61
ADP,Automatic Data Processing,Information Technology,108.25,3.85
AZO,AutoZone Inc,Consumer Discretionary,718.57,44.09
AVB,"AvalonBay Communities, Inc.",Real Estate,154.94,6.36
AVY,Avery Dennison Corp,Materials,110.77,3.11
BHGE,"Baker Hughes, a GE Company",Energy,27.5,-0.31
BLL,Ball Corp,Materials,38.44,0.85
BAC,Bank of America Corp,Financials,29.74,1.55
BAX,Baxter International Inc.,Health Care,62.56,1.29
BBT,BB&T Corporation,Financials,51.07,2.74
BDX,Becton Dickinson,Health Care,211.44,4.65
BRK.B,Berkshire Hathaway,Financials,191.42,9.76
BBY,Best Buy Co. Inc.,Consumer Discretionary,68.79,3.81
BIIB,Biogen Inc.,Health Care,311.79,11.94
BLK,BlackRock,Financials,509.38,30.3
HRB,Block H&R,Financials,25.19,1.92
BA,Boeing Company,Industrials,329.66,13.47
BWA,BorgWarner,Consumer Discretionary,51.94,0.55
BXP,Boston Properties,Real Estate,112.09,2.93
BSX,Boston Scientific,Health Care,25.2,0.07
BHF,Brighthouse Financial Inc,Financials,55.44,-24.62
BMY,Bristol-Myers Squibb,Health Care,62.69,2.65
AVGO,Broadcom,Information Technology,229.57,4.01
BF.B,Brown-Forman Corp.,Consumer Staples,63.33,1.7
CHRW,C. H. Robinson Worldwide,Industrials,90.47,3.57
CA,"CA, Inc.",Information Technology,32.66,1.85
COG,Cabot Oil & Gas,Energy,23.01,-0.92
CDNS,Cadence Design Systems,Information Technology,36.82,0.74
CPB,Campbell Soup,Consumer Staples,44.83,2.89
COF,Capital One Financial,Financials,91.8,3.45
CAH,Cardinal Health Inc.,Health Care,66.63,4.04
KMX,Carmax Inc,Consumer Discretionary,64.34,3.97
CCL,Carnival Corp.,Consumer Discretionary,66.76,3.58
CAT,Caterpillar Inc.,Industrials,145.99,1.26
CBOE,CBOE Holdings,Financials,111.15,2.27
CBG,CBRE Group,Real Estate,41.92,1.69
CBS,CBS Corp.,Consumer Discretionary,51.8,2.81
CELG,Celgene Corp.,Health Care,91.02,3.58
CNC,Centene Corporation,Health Care,100.36,3.23
CNP,CenterPoint Energy,Utilities,25.85,1
CTL,CenturyLink Inc,Telecommunication Services,16.2,1.16
CERN,Cerner,Health Care,61.22,1.84
CF,CF Industries Holdings Inc,Materials,37.46,-1.2
SCHW,Charles Schwab Corporation,Financials,48.9,1.61
CHTR,Charter Communications,Consumer Discretionary,348.65,34.08
CHK,Chesapeake Energy,Energy,2.82,-6.44
